gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
ohrA-group_1305-group_6413,1,1,0,0,1,0,0,1,1,0
malK_12~~~malK_6-group_2467-kaiC_2~~~kaiC_3,1,1,0,1,1,0,0,1,1,0
group_3305-abo_3-lrp_2,1,1,0,1,1,0,0,1,1,0
gabD_4-group_3472-group_6690,1,1,0,1,1,0,0,1,1,0
group_3472-gabD_4-ttuC,1,1,0,1,1,0,0,1,1,0
group_3306-group_3129-group_4656,0,0,1,0,0,1,1,0,0,0
group_3306-group_3129-group_6666,1,1,0,1,0,0,0,1,1,0
group_3129-group_3306-group_2730,0,0,1,0,0,1,1,0,0,0
group_3129-group_3306-kdpB_1~~~kdpB_4,1,1,0,1,0,0,0,1,1,1
group_3712-group_1601-kdpB_1~~~kdpB_4,0,1,1,1,1,1,1,1,1,0
kdpB_1~~~kdpB_4-group_1601-ctpF_2~~~ctpF~~~ctpF_1,1,0,0,0,0,0,0,0,0,1
group_4321-group_66-group_3178,1,1,0,1,1,0,0,1,1,0
group_4321-group_66-group_3374,0,0,1,0,0,1,1,0,0,1
group_2441-ydiK_2-group_3904,1,1,0,1,1,0,0,1,1,0
group_2441-ydiK_2-group_5915,0,0,1,0,0,1,1,0,0,0
group_5030-group_10-group_6066,1,1,1,1,1,1,1,1,1,0
rhtC_2-ybaA_1-group_3996,0,0,0,1,0,0,0,1,1,0
rhtC_2-ybaA_1-group_4628,1,1,0,0,1,0,0,0,0,0
