from,gene,non_unique_gene_name,annotation
dnaA,dnaA_1,;dnaA_1,hypothetical protein;Chromosomal replication initiator protein DnaA
mdtN,mdtN,mdtN,Multidrug resistance protein MdtN
alsT,alsT_3,alsT_3,Amino-acid carrier protein AlsT
pcaH,pcaH,pcaH;,Protocatechuate 34-dioxygenase beta chain;hypothetical protein
nusA,nusA,nusA,Transcription termination/antitermination protein NusA
hisI,hisI,hisI,Phosphoribosyl-AMP cyclohydrolase
ydcO,ydcO,ydcO,Inner membrane protein YdcO
ftsY,ftsY,ftsY;,Signal recognition particle receptor FtsY;hypothetical protein
eamB,eamB,;eamB,hypothetical protein;Cysteine/O-acetylserine efflux protein
ycjX,ycjX,;ycjX,hypothetical protein;putative protein YcjX
dnaJ,dnaJ_3,dnaJ_3;,Chaperone protein DnaJ;hypothetical protein
rdmC,rdmC,rdmC;,Aclacinomycin methylesterase RdmC;hypothetical protein
mutY,mutY,mutY,Adenine DNA glycosylase
prsE,prsE_1,prsE_1;,Type I secretion system membrane fusion protein PrsE;hypothetical protein
ftsK,ftsK,ftsK;,DNA translocase FtsK;hypothetical protein
ndvA,ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
yedA,yedA_1,yedA_1;,putative inner membrane transporter YedA;hypothetical protein
nudK,nudK,nudK;,GDP-mannose pyrophosphatase NudK;hypothetical protein
rocB,rocB,;rocB,hypothetical protein;Protein RocB
mtlK,mtlK,mtlK;,Mannitol 2-dehydrogenase;hypothetical protein
takP,takP_1,takP_1;,Alpha-keto acid-binding periplasmic protein TakP;hypothetical protein;Monocarboxylate 2-oxoacid-binding periplasmic protein
der,der,der,GTPase Der
ureG,ureG,ureG,Urease accessory protein UreG
bioN,bioN,bioN,Energy-coupling factor transporter transmembrane protein BioN
ynjC,ynjC,;ynjC,hypothetical protein;Inner membrane ABC transporter permease protein YnjC
rpiA,rpiA,rpiA,Ribose-5-phosphate isomerase A
epsL,epsL_1,epsL_1,putative sugar transferase EpsL
recG,recG,recG,ATP-dependent DNA helicase RecG
atm1,atm1,atm1,ATM1-type heavy metal exporter
hisG,hisG,hisG,ATP phosphoribosyltransferase
bcsA,bcsA,;bcsA,hypothetical protein;Cellulose synthase catalytic subunit [UDP-forming]
aar,aar,;aar,hypothetical protein;L-alanine/L-glutamate racemase
pchF,pchF,;pchF,putative FAD-linked oxidoreductase;4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
phaC,phaC,;phaC,hypothetical protein;Poly(3-hydroxyalkanoate) polymerase subunit PhaC
degS,degS,;degS,hypothetical protein;Signal transduction histidine-protein kinase/phosphatase DegS
yecS,yecS_2,yecS_2,L-cystine transport system permease protein YecS
fabG,fabG_7,;fabG_7,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase FabG
queD,queD,queD,6-carboxy-5678-tetrahydropterin synthase
msbA,msbA_1,;msbA_1,Putative multidrug export ATP-binding/permease protein;Lipid A export ATP-binding/permease protein MsbA
fmt,fmt_2,fmt_2,Methionyl-tRNA formyltransferase
hisF,hisF,hisF,Imidazole glycerol phosphate synthase subunit HisF
clpA,clpA,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
sseA,sseA,sseA,3-mercaptopyruvate sulfurtransferase
dmdC,dmdC_1,dmdC_1,3-methylmercaptopropionyl-CoA dehydrogenase
lcfB,lcfB_3,lcfB_3;,Long-chain-fatty-acid--CoA ligase;Long-chain-fatty-acid--CoA ligase FadD13
fhuA,fhuA_2,fhuA_2;,Ferrichrome outer membrane transporter/phage receptor;hypothetical protein
soxA,soxA_1,;soxA_1,hypothetical protein;Monomeric sarcosine oxidase
ecfG,ecfG_3,;ecfG_3,hypothetical protein;ECF RNA polymerase sigma factor EcfG
oiaK,oiaK,;oiaK,hypothetical protein;3-oxo-isoapionate kinase
ureF,ureF,ureF,Urease accessory protein UreF
xynR,xynR_2,;xynR_2,hypothetical protein;HTH-type transcriptional regulator XynR
mhqA,mhqA,mhqA,Putative ring-cleaving dioxygenase MhqA
cysE,cysE,;cysE,hypothetical protein;Serine acetyltransferase
ispB,ispB_1,;ispB_1,Farnesyl diphosphate synthase;Octaprenyl diphosphate synthase
ung,ung,ung,Uracil-DNA glycosylase
otsA,otsA,;otsA,hypothetical protein;Trehalose-6-phosphate synthase
mnmA,mnmA,mnmA,tRNA-specific 2-thiouridylase MnmA
deoA,deoA,deoA,Thymidine phosphorylase
mlc,mlc,mlc,Protein mlc
occM,occM_2,occM_2;,Octopine transport system permease protein OccM;hypothetical protein
yxeN,yxeN,yxeN;,putative amino-acid permease protein YxeN;hypothetical protein
sctC,sctC_2,sctC_2,Type 3 secretion system secretin
minC,minC,minC,septum site-determining protein MinC;Septum site-determining protein MinC
