ID,RhizobiaSite,Rhizobia,PlantSite,Plant,TreatmentID,Waterblock,Label,DryWeight (mg),NoduleNumber,RootWeight (mg),NoduleWeight (mg)
34,H,H3M1R1,L,L1M1,3,7,ID034-H3M1R1-WB7-L1M1,13.6,13,3.6,
35,H,H3M1R1,L,L1M3,3,7,ID035-H3M1R1-WB7-L1M3,7.9,6,2.1,
36,H,H3M1R1,L,L1M1,3,8,ID036-H3M1R1-WB8-L1M1,5,5,0.9,
37,H,H3M1R1,L,L1M3,3,8,ID037-H3M1R1-WB8-L1M3,7.4,6,2.2,
38,H,H3M1R1,L,L3M2,3,8,ID038-H3M1R1-WB8-L3M2,14.2,19,4.3,
39,H,H3M1R1,L,L3M1,3,8,ID039-H3M1R1-WB8-L3M1,20.3,7,4.5,
40,H,H3M1R1,L,L3M2,3,8,ID040-H3M1R1-WB8-L3M2,15.8,24,2.7,
41,H,H3M1R1,L,L1M3,3,8,ID041-H3M1R1-WB8-L1M3,5.1,6,1.5,
42,H,H3M1R1,S,S5M3,4,10,ID042-H3M1R1-WB10-S5M3,23.8,19,5.4,
43,H,H3M1R1,S,S5M6,4,10,ID043-H3M1R1-WB10-S5M6,NA,,NA,
44,H,H3M1R1,S,S5M6,4,10,ID044-H3M1R1-WB10-S5M6,7.8,9,3.1,
45,H,H3M1R1,S,S5M5,4,10,ID045-H3M1R1-WB10-S5M5,12.5,13,3,
46,H,H3M1R1,S,S5M6,4,10,ID046-H3M1R1-WB10-S5M6,15.5,18,2.8,
47,H,H3M1R1,S,S5M5,4,10,ID047-H3M1R1-WB10-S5M5,8.9,3,1.9,
48,H,H3M1R1,S,S5M4,4,11,ID048-H3M1R1-WB11-S5M4,14.9,17,3.4,
49,H,H3M1R1,S,S5M4,4,11,ID049-H3M1R1-WB11-S5M4,12.7,15,2.7,0.2
50,H,H3M1R1,S,S5M7,4,11,ID050-H3M1R1-WB11-S5M7,NA,,NA,
51,H,H3M1R1,S,S5M3,4,11,ID051-H3M1R1-WB11-S5M3,6.7,8,1.8,0.6
52,H,H3M1R1,S,S5M3,4,11,ID052-H3M1R1-WB11-S5M3,4.5,1,0.9,
53,H,H3M1R1,S,S5M1,4,11,ID053-H3M1R1-WB11-S5M1,8,5,1,0.2
54,H,H3M1R1,S,S5M4,4,12,ID054-H3M1R1-WB12-S5M4,21.1,18,2.4,1
55,H,H3M1R1,S,S5M4,4,12,ID055-H3M1R1-WB12-S5M4,13.5,17,2,0.6
56,H,H3M1R1,S,S5M1,4,12,ID056-H3M1R1-WB12-S5M1,13.1,16,1.8,0.5
57,H,H3M1R1,S,S5M3,4,12,ID057-H3M1R1-WB12-S5M3,14.2,7,1.4,0.7
58,H,H3M1R1,S,S5M4,4,12,ID058-H3M1R1-WB12-S5M4,9.8,3,3.2,0.3
59,H,H4M5R1,S,S5M4,5,13,ID059-H4M5R1-WB13-S5M4,NA,,NA,
60,H,H4M5R1,S,S5M4,5,13,ID060-H4M5R1-WB13-S5M4,15.1,8,2.3,0.5
61,H,H4M5R1,S,S5M3,5,13,ID061-H4M5R1-WB13-S5M3,9.8,9,3.2,0.5
62,H,H4M5R1,S,S5M3,5,13,ID062-H4M5R1-WB13-S5M3,32.4,25,5,1
