temperature,well,exp_id,r,t.r,lag,maxOD,startOD
25c,A05,fp1-2,0.44370885963824336,29.75,28.445145995045536,0.22779335592007915,-0.03293750000000001
25c,B05,fp1-3,0.6385610274990675,34.666666666666664,33.699074015046286,0.21285926624296586,-0.03193750000000001
25c,C05,fp2-2,0.17787856538646873,32.083333333333336,27.295203053721103,0.14705526705546138,-0.03293750000000001
25c,D05,crp1-2,0.2384090990897054,15.166666666666666,12.675752092961272,0.22966608893800866,-0.030937500000000007
25c,E05,crp1-3,0.18586159170382677,17.583333333333332,13.737879453913514,0.20483790834496798,-0.028937500000000005
25c,F05,crp2-2,0.4932113399162923,29,27.569017415313446,0.13870058577868175,-0.028937500000000005
25c,G05,gp1-1,0.24193437091207842,36.666666666666664,34.24291230504712,0.11014031914832109,-0.034
25c,H05,gp1-2,0.36141951474753053,34,32.11572445195,0.07988413044730713,-0.03193750000000001
25c,A06,fp1-2,0.43159862295929624,28.75,27.231693138983974,0.21444073082927717,-0.03393750000000001
25c,B06,fp1-3,0.6666534613757532,31.833333333333332,30.835839562648403,0.24483684327817878,-0.03293750000000001
25c,C06,fp2-2,0.29193200803906466,21.583333333333332,19.548634875152068,0.16136908505180905,-0.03193750000000001
25c,D06,crp1-2,0.24694494630985112,11.666666666666666,9.11734260907121,0.2520065457473755,-0.029937500000000006
25c,E06,crp1-3,0.15038700860572277,17.916666666666668,12.898566617369982,0.25177426995514207,-0.026937500000000003
25c,F06,crp2-2,0.3557545359813095,28,26.27850179008322,0.15656083406321505,-0.026937500000000003
25c,G06,gp1-1,0.2624875846624684,26.25,23.75902434566848,0.13513820329012058,-0.029937500000000006
25c,H06,gp1-2,0.6635364568428499,23.916666666666668,22.796742355113267,0.1293622591557813,-0.030937500000000007
25c,A07,gp1-3,0.497305358918035,27.75,26.386943054284934,0.12478594622703519,-0.034
25c,B07,bg-2,0.3524595122844028,27.916666666666668,26.03564553699936,0.17355231828010093,-0.030937500000000007
25c,C07,bg-3,0.3776943253569461,17.5,15.752876666005019,0.22926785310400558,-0.030937500000000007
25c,D07,pms-1,0.19719288053601455,13.666666666666666,9.740282791778565,0.25476505303596775,-0.028937500000000005
25c,E07,pms-2,0.28314742990439434,15.25,13.182496066895943,0.23291853108239585,-0.028937500000000005
25c,F07,pms-3,0.3016981891140513,29.5,27.413126613418015,0.15396005319921607,-0.030937500000000007
25c,G07,ppf-1,0.23579957772021568,33.583333333333336,30.318075963995543,0.11309924010242109,-0.03393750000000001
25c,H07,40th-1,0.5691043223154623,25.583333333333332,24.11946354412588,0.1989131969695339,-0.030937500000000007
25c,A08,gp1-3,0.636127683822585,26.5,25.54108147946358,0.12525449607126515,-0.03393750000000001
25c,B08,bg-2,0.4359482508728024,27.166666666666668,25.553907177866012,0.1717649453772829,-0.029937500000000006
25c,C08,bg-3,0.2683459677695272,16.583333333333332,13.898859329684033,0.26506973286126,-0.029937500000000006
25c,D08,pms-1,0.20838629990052748,11.416666666666666,8.438934329590346,0.23003144106944903,-0.025937500000000002
25c,E08,pms-2,0.2096578592166545,12,9.278081094935258,0.26666017251574614,-0.023937500000000014
25c,F08,pms-3,0.3036598517775912,20.5,18.418503240514596,0.17156957765743944,-0.027937500000000004
25c,G08,ppf-1,0.29031863787263806,30.416666666666668,28.08524643651841,0.10999643005562652,-0.027937500000000004
25c,H08,40th-1,0.6578354244777097,25.583333333333332,24.3583240870357,0.20392907958357537,-0.034
40c,A01,H2M3R1,0,NA,NA,NA,-0.034
40c,B01,H2M3R2,0,NA,NA,NA,-0.034
40c,C01,H3M1R1,0,NA,NA,NA,-0.034
40c,D01,H3M3R2,0,NA,NA,NA,-0.034
40c,E01,H3M4R1,0,NA,NA,NA,-0.03325
40c,F01,H4M5R1,0,NA,NA,NA,-0.034
40c,G01,L1M2R2,0,NA,NA,NA,-0.034
40c,H01,L2M2R1,0.9754351229815217,20.25,19.355138774706575,0.19042214106910285,-0.034
40c,A02,H2M3R1,0,NA,NA,NA,-0.034
40c,B02,H2M3R2,0,NA,NA,NA,-0.034
40c,C02,H3M1R1,0,NA,NA,NA,-0.03225
40c,D02,H3M3R2,0,NA,NA,NA,-0.03325
40c,E02,H3M4R1,0,NA,NA,NA,-0.03125
40c,F02,H4M5R1,0,NA,NA,NA,-0.03025
40c,G02,L1M2R2,0,NA,NA,NA,-0.03325
40c,H02,L2M2R1,0.7879276547225217,20.75,19.77916723552102,0.24098221881838566,-0.034
40c,A03,L2M4R1,0,NA,NA,NA,-0.03325
40c,B03,L3M5R1,0,NA,NA,NA,-0.03025
40c,C03,L4M2R2,0,NA,NA,NA,-0.03225
40c,D03,L4M3R3,0,NA,NA,NA,-0.034
40c,E03,L4M4R1,0,NA,NA,NA,-0.03025
40c,F03,L4M7R1,0,NA,NA,NA,-0.03325
40c,G03,L3M1R1,0.3397223224683994,22.5,20.470152030249356,0.24805585173388733,-0.03125
40c,H03,src-2,0.739425050813396,15.583333333333334,14.547009400793806,0.13637507268561774,-0.03225
40c,A04,L2M4R1,0,NA,NA,NA,-0.029249999999999998
40c,B04,L3M5R1,0,NA,NA,NA,-0.03125
40c,C04,L4M2R2,0,NA,NA,NA,-0.03225
40c,D04,L4M3R3,0,NA,NA,NA,-0.034
40c,E04,L4M4R1,0,NA,NA,NA,-0.03225
40c,F04,L4M7R1,0,NA,NA,NA,-0.03225
40c,G04,L3M1R1,0.49452402576986515,25.833333333333332,24.199880175141384,0.21377652801624944,-0.034
40c,H04,src-2,0.8685370535514714,60,59.766415188463945,0.1450781514326185,-0.03225
40c,A05,fp1-2,0.8872761053341296,19.333333333333332,18.643241836838904,0.23903590144986667,-0.029249999999999998
40c,B05,fp1-3,0.8792133005163217,21.833333333333332,21.086485289760795,0.19180637460729633,-0.03125
40c,C05,fp2-2,0.1554717239732343,42.5,37.03726503083739,0.07661043370553607,-0.03125
40c,D05,crp1-2,0.4729270070745157,15,13.66349812487972,0.21710378035419958,-0.03025
40c,E05,crp1-3,0.5416626178730026,14.416666666666666,13.072697931862228,0.2404819761359639,-0.03225
40c,F05,crp2-2,0.29352301823398363,15.583333333333334,13.59168923296083,0.28676227329292253,-0.034
40c,G05,gp1-1,0,NA,NA,NA,0.01175000000000001
40c,H05,gp1-2,0,NA,NA,NA,-0.034
40c,A06,fp1-2,1.1415431712325628,18.75,18.1324323161373,0.2573023832521095,-0.03225
