from,gene,non_unique_gene_name,annotation
glpQ,glpQ,;glpQ,hypothetical protein;Glycerophosphodiester phosphodiesterase
cynT,cynT,;cynT,hypothetical protein;Carbonic anhydrase 1
dnaJ,dnaJ_2,dnaJ_2,Chaperone protein DnaJ
rsmD,rsmD,;rsmD,hypothetical protein;Ribosomal RNA small subunit methyltransferase D
araC,araC_2,araC_2,L-arabonate dehydratase
ku,ku_2,ku_2,Non-homologous end joining protein Ku
uspF,uspF,uspF,Universal stress protein F
lacE,lacE,lacE,Lactose-binding protein
rlpA,rlpA_2,rlpA_2,Endolytic peptidoglycan transglycosylase RlpA
allE,allE,allE;,(S)-ureidoglycine aminohydrolase;hypothetical protein
glnA,glnA_1,glnA_1,Glutamine synthetase
mtaB,mtaB,mtaB,Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
bpt,bpt,bpt,Aspartate/glutamate leucyltransferase
pucL,pucL,;pucL,hypothetical protein;Uric acid degradation bifunctional protein PucL
ctaA,ctaA,ctaA,Heme A synthase
araD,araD,;araD,hypothetical protein;L-2-keto-3-deoxyarabonate dehydratase
cimA,cimA,cimA,(R)-citramalate synthase
kbaZ,kbaZ,kbaZ;,D-tagatose-16-bisphosphate aldolase subunit KbaZ;D-tagatose 6-phosphate 4-epimerase
codA,codA,codA,Cytosine deaminase
ttcA,ttcA,ttcA,tRNA-cytidine(32) 2-sulfurtransferase
hss,hss,hss,Homospermidine synthase
rlmN,rlmN,rlmN,Dual-specificity RNA methyltransferase RlmN
eltP,eltP,;eltP,hypothetical protein;Erythritol/L-threitol-binding protein
yitJ,yitJ_1,;yitJ_1,hypothetical protein;Bifunctional homocysteine S-methyltransferase/510-methylenetetrahydrofolate reductase
pspA,pspA,pspA,Phosphoserine phosphatase 1
hisI,hisI,hisI,Phosphoribosyl-AMP cyclohydrolase
sgrR,sgrR_1,;sgrR_1,hypothetical protein;HTH-type transcriptional regulator SgrR
ruvC,ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC
fdoI,fdoI,fdoI,Formate dehydrogenase cytochrome b556(fdo) subunit
proX,proX,;proX,hypothetical protein;Prolyl-tRNA editing protein ProX
msrA,msrA,msrA,Peptide methionine sulfoxide reductase MsrA
alkB,alkB,;alkB,hypothetical protein;Alpha-ketoglutarate-dependent dioxygenase AlkB
ydjA,ydjA,;ydjA,hypothetical protein;Putative NAD(P)H nitroreductase YdjA
rhaR,rhaR_8,;rhaR_8,hypothetical protein;HTH-type transcriptional activator RhaR
flgE,flgE,;flgE,hypothetical protein;Flagellar hook protein FlgE
ftcR,ftcR,ftcR,Flagellar transcriptional regulator FtcR
gtaB,gtaB_1,gtaB_1;,UTP--glucose-1-phosphate uridylyltransferase;hypothetical protein
frmR,frmR,frmR,Transcriptional repressor FrmR
gstB,gstB_2,gstB_2,Glutathione S-transferase GST-6.0
qmcA,qmcA,qmcA,Protein QmcA
msbA,msbA_2,;msbA_2,Putative multidrug export ATP-binding/permease protein;Lipid A export ATP-binding/permease protein MsbA
rihB,rihB_2,;rihB_2,hypothetical protein;Pyrimidine-specific ribonucleoside hydrolase RihB
znuC,znuC,;znuC,hypothetical protein;Zinc import ATP-binding protein ZnuC
lolE,lolE_1,lolE_1,Lipoprotein-releasing system transmembrane protein LolE
ispDF,ispDF,ispDF,Bifunctional enzyme IspD/IspF
glnL,glnL,;glnL,hypothetical protein;Sensory histidine kinase/phosphatase NtrB
takP,takP,;takP,hypothetical protein;Alpha-keto acid-binding periplasmic protein TakP
tgnC,tgnC,tgnC,(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
cpoB,cpoB_1,cpoB_1;,Cell division coordinator CpoB;hypothetical protein
nqo3,nqo3,nqo3,NADH-quinone oxidoreductase chain 3
cobN,cobN,cobN,Aerobic cobaltochelatase subunit CobN
fecI,fecI,fecI,putative RNA polymerase sigma factor FecI
catM,catM,catM,HTH-type transcriptional regulator CatM
zupT,zupT,zupT;,Zinc transporter ZupT;hypothetical protein
moaB,moaB,;moaB,hypothetical protein;Molybdenum cofactor biosynthesis protein B
tgt,tgt,tgt,Queuine tRNA-ribosyltransferase
psuK,psuK,psuK,Pseudouridine kinase
tdk,tdk,tdk,Thymidine kinase
rnd,rnd_1,rnd_1,Ribonuclease D
gpsA,gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+]
potB,potB_6,potB_6;,Spermidine/putrescine transport system permease protein PotB;hypothetical protein
mftE,mftE,;mftE,hypothetical protein;Putative mycofactocin system creatinine amidohydrolase family protein MftE
ompA,ompA,;ompA,hypothetical protein;Outer membrane protein A
scpB,scpB_1,scpB_1,Segregation and condensation protein B
