gene,non_unique_gene_name,annotation,from
gsiA_6,gsiA_6,Glutathione import ATP-binding protein GsiA,gsiA
ddpA,ddpA,putative DD-dipeptide-binding periplasmic protein DdpA,ddpA
acsA_4,acsA_4,Acetyl-coenzyme A synthetase,acsA
ilvG,ilvG,Acetolactate synthase isozyme 2 large subunit,ilvG
gsiA_3,gsiA_3,Glutathione import ATP-binding protein GsiA,gsiA
betA_2,betA_2,Oxygen-dependent choline dehydrogenase,betA
ettA,ettA,Energy-dependent translational throttle protein EttA,ettA
gsiA_12,gsiA_12,Glutathione import ATP-binding protein GsiA,gsiA
aidB,aidB,Putative acyl-CoA dehydrogenase AidB,aidB
malL_2,malL_2,Oligo-16-glucosidase,malL
dauA_2,dauA_2,C4-dicarboxylic acid transporter DauA,dauA
rnj,rnj,Ribonuclease J,rnj
yejF_2,yejF_2,putative ABC transporter ATP-binding protein YejF,yejF
sir,sir,Sulfite reductase [ferredoxin],sir
recN,recN,DNA repair protein RecN,recN
nqrF_1,nqrF_1,Na(+)-translocating NADH-quinone reductase subunit F,nqrF
hutU,hutU,Urocanate hydratase,hutU
nadE_2,nadE_2,Glutamine-dependent NAD(+) synthetase,nadE
ctaD_1,ctaD_1,Cytochrome c oxidase subunit 1,ctaD
rocB,rocB,Protein RocB,rocB
adeC_1,adeC_1,Adenine deaminase,adeC
fadD,fadD,Long-chain-fatty-acid--CoA ligase,fadD
gsiA_9,gsiA_9,Glutathione import ATP-binding protein GsiA,gsiA
rpsA,rpsA,30S ribosomal protein S1,rpsA
leuA,leuA,2-isopropylmalate synthase,leuA
cof,cof,HMP-PP phosphatase,cof
lerK,lerK,L-erythrulose kinase,lerK
eptA,eptA,Phosphoethanolamine transferase EptA,eptA
fhs,fhs,Formate--tetrahydrofolate ligase,fhs
araC_1,araC_1,L-arabonate dehydratase,araC
ggt,ggt,Glutathione hydrolase proenzyme,ggt
ftsI_1,ftsI_1,putative peptidoglycan DD-transpeptidase FtsI,ftsI
prsD_1,prsD_1,Type I secretion system ATP-binding protein PrsD,prsD
argS,argS,Arginine--tRNA ligase,argS
ndhB_3,ndhB_3,NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic,ndhB
ndmD,ndmD,Oxidoreductase NdmD,ndmD
ftsZ_1,ftsZ_1,Cell division protein FtsZ,ftsZ
araC_3,araC_3,L-arabonate dehydratase,araC
ilvI,ilvI,Acetolactate synthase isozyme 3 large subunit,ilvI
coxN,coxN,Alternative cytochrome c oxidase subunit 1,coxN
asnB_2,asnB_2,Asparagine synthetase [glutamine-hydrolyzing] 1,asnB
bdlA,bdlA,Biofilm dispersion protein BdlA,bdlA
gcl,gcl,Glyoxylate carboligase,gcl
sasA_7,sasA_7,Adaptive-response sensory-kinase SasA,sasA
adeC_2,adeC_2,Adenine deaminase,adeC
moxF_1,moxF_1,Methanol dehydrogenase [cytochrome c] subunit 1,moxF
mutL,mutL,DNA mismatch repair protein MutL,mutL
ydaP,ydaP,Putative thiamine pyrophosphate-containing protein YdaP,ydaP
edd,edd,Phosphogluconate dehydratase,edd
dctB_2,dctB_2,C4-dicarboxylate transport sensor protein DctB,dctB
lepA,lepA,Elongation factor 4,lepA
bepA_2,bepA_2,Beta-barrel assembly-enhancing protease,bepA
ilvD,ilvD,Dihydroxy-acid dehydratase,ilvD
sdhA,sdhA,Succinate dehydrogenase flavoprotein subunit,sdhA
uup,uup,ABC transporter ATP-binding protein uup,uup
thiC,thiC,Phosphomethylpyrimidine synthase,thiC
appA,appA,Oligopeptide-binding protein AppA,appA
siaT_2,siaT_2,Sialic acid TRAP transporter permease protein SiaT,siaT
mnmG,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,mnmG
pepF1,pepF1,Oligoendopeptidase F plasmid,pepF1
atm1,atm1,ATM1-type heavy metal exporter,atm1
nanT_1,nanT_1,Sialic acid transporter NanT,nanT
yheS_1,yheS_1,putative ABC transporter ATP-binding protein YheS,yheS
deaD,deaD,ATP-dependent RNA helicase DeaD,deaD
prsA,prsA,Foldase protein PrsA,prsA
gsiA_1,gsiA_1,Glutathione import ATP-binding protein GsiA,gsiA
cobT,cobT,Aerobic cobaltochelatase subunit CobT,cobT
kup_2,kup_2,Low affinity potassium transport system protein kup,kup
acsA_2,acsA_2,Acetyl-coenzyme A synthetase,acsA
exoI,exoI,Beta-hexosaminidase,exoI
ftsH_2,ftsH_2,ATP-dependent zinc metalloprotease FtsH,ftsH
acsA_3,acsA_3,Acetyl-coenzyme A synthetase,acsA
iolC,iolC,5-dehydro-2-deoxygluconokinase,iolC
acsA_1,acsA_1,Acetyl-coenzyme A synthetase,acsA
fusA_1,fusA_1,Elongation factor G,fusA
tktA_2,tktA_2,Transketolase 1,tktA
tktB,tktB,Transketolase 2,tktB
dnaG,dnaG,DNA primase,dnaG
cyoB,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,cyoB
carB_1,carB_1,Carbamoyl-phosphate synthase large chain,carB
uvrC,uvrC,UvrABC system protein C,uvrC
iolG_12,iolG_12,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,iolG
gyrB_1,gyrB_1,DNA gyrase subunit B,gyrB
agpA,agpA,Periplasmic alpha-galactoside-binding protein,agpA
tktA_1,tktA_1,Transketolase 1,tktA
btuD_15,btuD_15,Vitamin B12 import ATP-binding protein BtuD,btuD
pctA,pctA,Methyl-accepting chemotaxis protein PctA,pctA
glgX_1,glgX_1,Glycogen operon protein GlgX,glgX
hcaB_5,hcaB_5,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
fusA_2,fusA_2,Elongation factor G,fusA
katE,katE,Catalase C,katE
pnp,pnp,Polyribonucleotide nucleotidyltransferase,pnp
glyS,glyS,Glycine--tRNA ligase beta subunit,glyS
menF,menF,Isochorismate synthase MenF,menF
priA,priA,Primosomal protein N',priA
glgB,glgB,14-alpha-glucan branching enzyme GlgB,glgB
iorB_1,iorB_1,Isoquinoline 1-oxidoreductase subunit beta,iorB
rsh,rsh,GTP pyrophosphokinase rsh,rsh
zntA,zntA,Zinc/cadmium/lead-transporting P-type ATPase,zntA
purL,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,purL
cheA,cheA,Chemotaxis protein CheA,cheA
tme,tme,NADP-dependent malic enzyme,tme
paoC_3,paoC_3,Aldehyde oxidoreductase molybdenum-binding subunit PaoC,paoC
mtgA_3,mtgA_3,Biosynthetic peptidoglycan transglycosylase,mtgA
dme,dme,NAD-dependent malic enzyme,dme
xdhA_2,xdhA_2,Putative xanthine dehydrogenase molybdenum-binding subunit XdhA,xdhA
pleC,pleC,Non-motile and phage-resistance protein,pleC
bamA_1,bamA_1,Outer membrane protein assembly factor BamA,bamA
lptD,lptD,LPS-assembly protein LptD,lptD
speF,speF,Inducible ornithine decarboxylase,speF
hcrA_1,hcrA_1,4-hydroxybenzoyl-CoA reductase subunit alpha,hcrA
virB4_2,virB4_2,Protein virB4,virB4
abo_4,abo_4,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
lon,lon,Lon protease,lon
gyrB_2,gyrB_2,DNA gyrase subunit B,gyrB
abo_3,abo_3,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
abo_2,abo_2,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
xpkA,xpkA,Xylulose-5-phosphate phosphoketolase,xpkA
mrcA_1,mrcA_1,Penicillin-binding protein 1A,mrcA
malP,malP,Maltodextrin phosphorylase,malP
actP,actP,Copper-transporting P-type ATPase,actP
srmB,srmB,ATP-dependent RNA helicase SrmB,srmB
dmg,dmg,Dimethylglycine oxidase,dmg
secD,secD,Protein translocase subunit SecD,secD
mprF,mprF,Phosphatidylglycerol lysyltransferase,mprF
pepN,pepN,Aminopeptidase N,pepN
infB,infB,Translation initiation factor IF-2,infB
ppdK,ppdK,Pyruvate phosphate dikinase,ppdK
secA,secA,Protein translocase subunit SecA,secA
mutS,mutS,DNA mismatch repair protein MutS,mutS
rcsC_4,rcsC_4,Sensor histidine kinase RcsC,rcsC
glnD,glnD,Bifunctional uridylyltransferase/uridylyl-removing enzyme,glnD
gcvP,gcvP,Glycine dehydrogenase (decarboxylating),gcvP
sucA,sucA,2-oxoglutarate dehydrogenase E1 component,sucA
argD_1,argD_1,Acetylornithine/succinyldiaminopimelate aminotransferase,argD
acrB,acrB,Multidrug efflux pump subunit AcrB,acrB
oqxB5,oqxB5,multidrug efflux RND transporter permease subunit OqxB5,oqxB5
bepG,bepG,Efflux pump membrane transporter BepG,bepG
bepE,bepE,Efflux pump membrane transporter BepE,bepE
rcsC_10,rcsC_10,Sensor histidine kinase RcsC,rcsC
dnaE1,dnaE1,DNA polymerase III subunit alpha,dnaE1
mfd,mfd,Transcription-repair-coupling factor,mfd
addA,addA,ATP-dependent helicase/nuclease subunit A,addA
putA,putA,Bifunctional protein PutA,putA
rpoC,rpoC,DNA-directed RNA polymerase subunit beta',rpoC
atsA,atsA;,Arylsulfatase;hypothetical protein;N-acetylgalactosamine-6-O-sulfatase,atsA
mtrR,mtrR;,HTH-type transcriptional regulator MtrR;hypothetical protein,mtrR
ltrA,ltrA;,Group II intron-encoded protein LtrA;hypothetical protein,ltrA
merA,merA;,Mercuric reductase;hypothetical protein,merA
acxA,;acxA,hypothetical protein;Acetone carboxylase beta subunit,acxA
acxB,;acxB,hypothetical protein;Acetone carboxylase alpha subunit,acxB
actIII,;actIII,hypothetical protein;Putative ketoacyl reductase,actIII
acxC,acxC,Acetone carboxylase gamma subunit,acxC
neo,neo,Aminoglycoside 3'-phosphotransferase,neo
hdfR_8,hdfR_8,HTH-type transcriptional regulator HdfR,hdfR
yfiZ_1,yfiZ_1,putative siderophore transport system permease protein YfiZ,yfiZ
fhuA_4,fhuA_4,Ferrichrome outer membrane transporter/phage receptor,fhuA
hmp_2,hmp_2;,3-ketosteroid-9-alpha-monooxygenase ferredoxin reductase component;hypothetical protein,hmp
esiB,esiB,Secretory immunoglobulin A-binding protein EsiB,esiB
patA_1,patA_1;,Peptidoglycan O-acetyltransferase;hypothetical protein,patA
yidZ,;yidZ,hypothetical protein;HTH-type transcriptional regulator YidZ,yidZ
hmp_4,hmp_4;,Flavohemoprotein;Carnitine monooxygenase oxygenase subunit,hmp
btuD_11,;btuD_11,Putative multidrug export ATP-binding/permease protein;Vitamin B12 import ATP-binding protein BtuD,btuD
fliY_2,fliY_2,L-cystine-binding protein FliY,fliY
oiaC,;oiaC,hypothetical protein;3-oxo-isoapionate decarboxylase,oiaC
cspA_5,cspA_5,Cold shock protein CspA,cspA
ywnA_2,ywnA_2,Putative HTH-type transcriptional regulator YwnA,ywnA
ligK,ligK,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK
galB,galB,4-oxalmesaconate hydratase,galB
fabG_5,fabG_5,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
stf0,stf0,Trehalose 2-sulfotransferase,stf0
yusV,yusV,putative siderophore transport system ATP-binding protein YusV,yusV
aptA,aptA,Apulose-4-phosphate transketolase subunit A,aptA
ltnD_2,ltnD_2,L-threonate dehydrogenase,ltnD
ephA,ephA,Epoxide hydrolase A,ephA
aptB,aptB,Apulose-4-phosphate transketolase subunit B,aptB
ligU,ligU,(4E)-oxalomesaconate Delta-isomerase,ligU
argP_4,argP_4,HTH-type transcriptional regulator ArgP,argP
dctM_5,dctM_5,C4-dicarboxylate TRAP transporter large permease protein DctM,dctM
galE1,galE1,UDP-glucose 4-epimerase,galE1
ywqD,ywqD;,Tyrosine-protein kinase YwqD;hypothetical protein,ywqD
wbpA_2,wbpA_2,UDP-N-acetyl-D-glucosamine 6-dehydrogenase,wbpA
wcaJ,wcaJ,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,wcaJ
vapC_1,vapC_1,tRNA(fMet)-specific endonuclease VapC,vapC
todT_1,todT_1,Response regulator protein TodT,todT
fabG_12,fabG_12,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
rfbF_2,rfbF_2,Glucose-1-phosphate cytidylyltransferase,rfbF
pdxI,pdxI,Pyridoxine 4-dehydrogenase,pdxI
pgrR_8,pgrR_8,HTH-type transcriptional regulator PgrR,pgrR
pgrR_7,pgrR_7,HTH-type transcriptional regulator PgrR,pgrR
sbp_1,sbp_1,Sulfate-binding protein,sbp
hldD_2,hldD_2,ADP-L-glycero-D-manno-heptose-6-epimerase,hldD
mshA_8,mshA_8,D-inositol-3-phosphate glycosyltransferase,mshA
kdgR_2,kdgR_2;,Pectin degradation repressor protein KdgR;hypothetical protein,kdgR
gltC,gltC,HTH-type transcriptional regulator GltC,gltC
lasI,lasI,Acyl-homoserine-lactone synthase,lasI
anoR,anoR;,Transcriptional activator protein AnoR;hypothetical protein,anoR
blc,blc,Outer membrane lipoprotein Blc,blc
vdh_2,;vdh_2,hypothetical protein;Vitamin D(3) 25-hydroxylase,vdh
tgnB_2,;tgnB_2,hypothetical protein;Flavin-dependent trigonelline monooxygenase oxygenase component,tgnB
degU_4,;degU_4,hypothetical protein;Transcriptional regulatory protein DegU,degU
oxyS,oxyS,12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase,oxyS
cueO,;cueO,hypothetical protein;Blue copper oxidase CueO,cueO
yagA,;yagA,IS481 family transposase ISRm20;putative protein YagA,yagA
norB,norB,Nitric oxide reductase subunit B,norB
nirK,nirK;,Copper-containing nitrite reductase;hypothetical protein,nirK
ubiJ,;ubiJ,hypothetical protein;Ubiquinone biosynthesis accessory factor UbiJ,ubiJ
hemN,hemN,Oxygen-independent coproporphyrinogen III oxidase,hemN
sufT,sufT,Fe-S protein maturation auxiliary factor SufT,sufT
fitB_2,fitB_2,Toxin FitB,fitB
bcp_2,bcp_2,Pseudoazurin,bcp
norC,norC,Nitric oxide reductase subunit C,norC
ctaE_2,ctaE_2,putative cytochrome c oxidase subunit 3,ctaE
bsdB,bsdB,putative UbiX-like flavin prenyltransferase,bsdB
glxR_2,glxR_2,CRP-like cAMP-activated global transcriptional regulator,glxR
nirQ,nirQ,Denitrification regulatory protein NirQ,nirQ
nodD2_2,nodD2_2,Nodulation protein D 2,nodD2
yhbU,yhbU,putative protease YhbU,yhbU
hyuC_3,hyuC_3,N-carbamoyl-L-amino-acid hydrolase,hyuC
mcbR_2,mcbR_2,HTH-type transcriptional regulator McbR,mcbR
fabG_4,fabG_4,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
livH_1,livH_1,High-affinity branched-chain amino acid transport system permease protein LivH,livH
ppsC,ppsC,Phthiocerol synthesis polyketide synthase type I PpsC,ppsC
ydbM,ydbM,Putative acyl-CoA dehydrogenase YdbM,ydbM
xsc_1,xsc_1,Sulfoacetaldehyde acetyltransferase,xsc
cnrA,cnrA,Nickel and cobalt resistance protein CnrA,cnrA
mdtA_3,mdtA_3,Multidrug resistance protein MdtA,mdtA
iucA,;iucA,hypothetical protein;N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase,iucA
iucD,iucD;,L-lysine N6-monooxygenase;hypothetical protein,iucD
ampG_1,;ampG_1,hypothetical protein;Anhydromuropeptide permease,ampG
rhaR_5,;rhaR_5,hypothetical protein;HTH-type transcriptional activator RhaR,rhaR
acdS,acdS,1-aminocyclopropane-1-carboxylate deaminase,acdS
iucB,iucB,N(6)-hydroxylysine O-acetyltransferase,iucB
araQ_4,araQ_4,L-arabinose transport system permease protein AraQ,araQ
melD_6,melD_6,Melibiose/raffinose/stachyose import permease protein MelD,melD
rpoN2_1,rpoN2_1,RNA polymerase sigma-54 factor 2,rpoN2
iucC,iucC,Aerobactin synthase,iucC
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,pdxK
ftsP_1,;ftsP_1,hypothetical protein;Cell division protein FtsP,ftsP
camC,;camC,hypothetical protein;Camphor 5-monooxygenase,camC
tetA_2,tetA_2,Tetracycline resistance protein class C;Tetracycline resistance protein class B,tetA
yfmC,yfmC,Fe(3+)-citrate-binding protein YfmC,yfmC
tetX,tetX,Flavin-dependent monooxygenase,tetX
srmB_2,srmB_2,ATP-dependent RNA helicase SrmB,srmB
ycjY,ycjY,putative protein YcjY,ycjY
parE1_1,;parE1_1,hypothetical protein;Toxin ParE1,parE1
fdhC_3,fdhC_3;,Fructose dehydrogenase cytochrome subunit;hypothetical protein,fdhC
xerC_2,xerC_2,Tyrosine recombinase XerC,xerC
ndhS_2,ndhS_2,Nicotinate dehydrogenase small FeS subunit,ndhS
paiB_2,paiB_2,Protease synthase and sporulation protein PAI 2,paiB
kduD_1,kduD_1,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,kduD
phnV,phnV,Putative 2-aminoethylphosphonate transport system permease protein PhnV,phnV
pgrR_18,pgrR_18,HTH-type transcriptional regulator PgrR,pgrR
rihA_1,rihA_1,Pyrimidine-specific ribonucleoside hydrolase RihA,rihA
potB_2,potB_2,Spermidine/putrescine transport system permease protein PotB,potB
btuD_7,btuD_7,Vitamin B12 import ATP-binding protein BtuD,btuD
lldD_1,lldD_1,L-lactate dehydrogenase,lldD
nepI_3,nepI_3,Purine ribonucleoside efflux pump NepI,nepI
hisD_1,hisD_1,Histidinol dehydrogenase,hisD
hcrA_2,hcrA_2,4-hydroxybenzoyl-CoA reductase subunit alpha,hcrA
noc_4,noc_4,Nucleoid occlusion protein,noc
kpsM_1,kpsM_1,Polysialic acid transport protein KpsM,kpsM
kpsT,kpsT,Polysialic acid transport ATP-binding protein KpsT,kpsT
tetR_1,;tetR_1,hypothetical protein;DNA-binding transcriptional repressor TetR,tetR
abgT,abgT,p-aminobenzoyl-glutamate transport protein,abgT
nadK_1,nadK_1,NAD kinase,nadK
ddl,ddl,D-alanine--D-alanine ligase,ddl
ohrR_1,ohrR_1,Organic hydroperoxide resistance transcriptional regulator,ohrR
gabR_3,gabR_3,HTH-type transcriptional regulatory protein GabR,gabR
slmA,slmA,Nucleoid occlusion factor SlmA,slmA
ycaC_2,ycaC_2,putative hydrolase YcaC,ycaC
calB,calB,Coniferyl aldehyde dehydrogenase,calB
gsiD_8,gsiD_8,Glutathione transport system permease protein GsiD,gsiD
gsiC_8,gsiC_8,Glutathione transport system permease protein GsiC,gsiC
pepT_2,pepT_2,Peptidase T,pepT
purK_1,purK_1,N5-carboxyaminoimidazole ribonucleotide synthase,purK
aam,aam,Acylamidase,aam
dipZ_2,dipZ_2,Protein DipZ,dipZ
ropA_3,ropA_3,Outer membrane protein IIIA,ropA
arcD_1,arcD_1,Arginine/ornithine antiporter,arcD
fgd_2,fgd_2;,F420-dependent glucose-6-phosphate dehydrogenase;hypothetical protein,fgd
snaC,snaC,NADH:riboflavin 5'-phosphate oxidoreductase,snaC
menB_1,;menB_1,Crotonyl-CoA hydratase;14-dihydroxy-2-naphthoyl-CoA synthase,menB
csoR,;csoR,hypothetical protein;Copper-sensing transcriptional repressor CsoR,csoR
pgrR_12,pgrR_12;,HTH-type transcriptional regulator PgrR;hypothetical protein,pgrR
paoB_4,paoB_4,Aldehyde oxidoreductase FAD-binding subunit PaoB,paoB
cusB,cusB;,Cation efflux system protein CusB;hypothetical protein,cusB
etfB,etfB,Electron transfer flavoprotein subunit beta,etfB
etfA,etfA,Electron transfer flavoprotein subunit alpha,etfA
cetB,cetB,2-epi-5-epi-valiolone epimerase,cetB
fixJ_3,fixJ_3,Transcriptional regulatory protein FixJ,fixJ
idnO,idnO,5-keto-D-gluconate 5-reductase,idnO
dkgB_1,dkgB_1,25-diketo-D-gluconic acid reductase B,dkgB
trxB_3,trxB_3,Thioredoxin reductase,trxB
iolS_4,iolS_4,Aldo-keto reductase IolS,iolS
tdh_1,tdh_1,L-threonine 3-dehydrogenase,tdh
pld1_1,pld1_1,Pyridoxal 4-dehydrogenase,pld1
adhT_2,adhT_2,Alcohol dehydrogenase,adhT
tqsA_1,tqsA_1,AI-2 transport protein TqsA,tqsA
mmgC,mmgC,Acyl-CoA dehydrogenase,mmgC
iolS_3,iolS_3,Aldo-keto reductase IolS,iolS
arcD_2,arcD_2,Arginine/ornithine antiporter,arcD
trkI_1,trkI_1,Trk system potassium uptake protein TrkI,trkI
alkJ_1,alkJ_1,Alcohol dehydrogenase [acceptor],alkJ
nusG_1,nusG_1,Transcription termination/antitermination protein NusG,nusG
fliY_4,;fliY_4,hypothetical protein;L-cystine-binding protein FliY,fliY
occM,occM,Octopine transport system permease protein OccM,occM
yecS_4,yecS_4,L-cystine transport system permease protein YecS,yecS
gntK_1,gntK_1;,Thermoresistant gluconokinase;Gluconokinase,gntK
pldht,;pldh-t,hypothetical protein;Pyridoxal 4-dehydrogenase,pldht
egtB,;egtB,Formylglycine-generating enzyme;Hercynine oxygenase,egtB
gno_2,gno_2,Gluconate 5-dehydrogenase,gno
fitB_4,fitB_4,Toxin FitB,fitB
rcsC_8,rcsC_8,Sensor histidine kinase RcsC,rcsC
tmoT_3,tmoT_3,Response regulator protein TmoT,tmoT
cobC,cobC,Adenosylcobalamin/alpha-ribazole phosphatase,cobC
dauR_2,dauR_2,Transcriptional regulator DauR,dauR
cypM,cypM,Cypemycin N-terminal methyltransferase,cypM
glnQ_6,glnQ_6,Glutamine transport ATP-binding protein GlnQ,glnQ
lutR_5,lutR_5,HTH-type transcriptional regulator LutR,lutR
hisN_2,hisN_2,Histidinol-phosphatase,hisN
argT_2,argT_2,Lysine/arginine/ornithine-binding periplasmic protein,argT
nimR_1,nimR_1,HTH-type transcriptional regulator NimR,nimR
glnH_2,glnH_2,ABC transporter glutamine-binding protein GlnH,glnH
garR_2,garR_2,2-hydroxy-3-oxopropionate reductase,garR
cmpR_1,cmpR_1,HTH-type transcriptional activator CmpR,cmpR
thrC_2,thrC_2,Threonine synthase,thrC
idnD_1,idnD_1,L-idonate 5-dehydrogenase (NAD(P)(+)),idnD
aatB_2,aatB_2,Aspartate aminotransferase,aatB
mglA_2,mglA_2,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
hbpA_3,hbpA_3,Heme-binding protein A,hbpA
apc4,apc4,Acetophenone carboxylase delta subunit,apc4
aspT_1,aspT_1,Aspartate/alanine antiporter,aspT
aspT_2,aspT_2,Aspartate/alanine antiporter,aspT
novN,novN,Decarbamoylnovobiocin carbamoyltransferase,novN
apc3,apc3,Acetophenone carboxylase gamma subunit,apc3
gstB_3,;gstB_3,hypothetical protein;Glutathione S-transferase GST-6.0,gstB
neuA,neuA,N-acylneuraminate cytidylyltransferase,neuA
siaA,siaA,UDP-N-acetylglucosamine 2-epimerase,siaA
ped,ped,(S)-1-Phenylethanol dehydrogenase,ped
QRSL1,;QRSL1,hypothetical protein;Glutamyl-tRNA(Gln) amidotransferase subunit A chloroplastic/mitochondrial,QRSL1
aprA,;aprA,hypothetical protein;Metalloprotease AprA,aprA
hemA_1,hemA_1,5-aminolevulinate synthase,hemA
fixN_4,;fixN_4,hypothetical protein;Cytochrome c oxidase subunit 1  bacteroid,fixN
argO,argO,Arginine exporter protein ArgO,argO
leuE,leuE,Leucine efflux protein,leuE
gltK,gltK,Glutamate/aspartate import permease protein GltK,gltK
yecS_1,yecS_1,L-cystine transport system permease protein YecS,yecS
occM_1,occM_1,Octopine transport system permease protein OccM,occM
hisQ_3,hisQ_3,Histidine transport system permease protein HisQ,hisQ
artM_1,artM_1,Arginine transport ATP-binding protein ArtM,artM
mltF,mltF,Membrane-bound lytic murein transglycosylase F,mltF
dapA_2,dapA_2,4-hydroxy-tetrahydrodipicolinate synthase,dapA
kce_2,kce_2,3-keto-5-aminohexanoate cleavage enzyme,kce
argB_2,argB_2,Acetylglutamate kinase,argB
iolE_3,iolE_3,Inosose dehydratase,iolE
gsiC_14,gsiC_14,Glutathione transport system permease protein GsiC,gsiC
tehA,tehA,Tellurite resistance protein TehA,tehA
legI,legI,NN'-diacetyllegionaminic acid synthase,legI
rebD,rebD,Dichlorochromopyrrolate synthase,rebD
fccB,fccB,Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain,fccB
ipdC,ipdC,Indole-3-pyruvate decarboxylase,ipdC
copA_2,copA_2,Copper-exporting P-type ATPase,copA
yybR,;yybR,hypothetical protein;putative HTH-type transcriptional regulator YybR,yybR
mhpC,mhpC,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase,mhpC
yiaV,yiaV,Inner membrane protein YiaV,yiaV
hcnC,hcnC;,Hydrogen cyanide synthase subunit HcnC;hypothetical protein,hcnC
tspO,;tspO,hypothetical protein;Tryptophan-rich sensory protein,tspO
xpkA_1,xpkA_1,Xylulose-5-phosphate phosphoketolase,xpkA
btaE,btaE;,Autotransporter adhesin BtaE;hypothetical protein,btaE
iolX,;iolX,hypothetical protein;scyllo-inositol 2-dehydrogenase (NAD(+)),iolX
f1pep1,f1pep1;,Prolyl endopeptidase,f1pep1
mqsA,mqsA,Antitoxin MqsA,mqsA
rhaS_8,rhaS_8;,HTH-type transcriptional activator RhaS;hypothetical protein,rhaS
sasA_6,sasA_6;,Adaptive-response sensory-kinase SasA;hypothetical protein,sasA
hcnB_2,hcnB_2,Hydrogen cyanide synthase subunit HcnB,hcnB
ilvI_2,;ilvI_2,hypothetical protein;Acetolactate synthase isozyme 3 large subunit,ilvI
oxyR_4,oxyR_4,Hydrogen peroxide-inducible genes activator,oxyR
degP_1,degP_1,Periplasmic serine endoprotease DegP,degP
yknX,;yknX,hypothetical protein;Putative efflux system component YknX,yknX
kaiC,kaiC,Circadian clock protein kinase KaiC,kaiC
higA2,higA-2,Antitoxin HigA-2,higA2
kup_3,kup_3,Low affinity potassium transport system protein kup,kup
cspA_4,cspA_4,Cold shock protein CspA,cspA
alkJ_5,alkJ_5,Alcohol dehydrogenase [acceptor],alkJ
mqsR,mqsR,mRNA interferase toxin MqsR,mqsR
hcnA,hcnA,Hydrogen cyanide synthase subunit HcnA,hcnA
bigR_1,bigR_1,Biofilm growth-associated repressor,bigR
aroQ_3,aroQ_3,3-dehydroquinate dehydratase,aroQ
aroQ_2,aroQ_2,3-dehydroquinate dehydratase,aroQ
blc_2,blc_2,Outer membrane lipoprotein Blc,blc
nhaX,nhaX,Stress response protein NhaX,nhaX
ybiS,ybiS,putative LD-transpeptidase YbiS,ybiS
hspA,hspA,Spore protein SP21,hspA
petA_2,petA_2,Ubiquinol-cytochrome c reductase iron-sulfur subunit,petA
sutR_1,sutR_1,HTH-type transcriptional regulator SutR,sutR
xerC_8,xerC_8,Tyrosine recombinase XerC,xerC
betB_6,betB_6,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
pcaG_2,pcaG_2,Protocatechuate 34-dioxygenase alpha chain,pcaG
IMPDH_1,IMPDH_1,Inosine-5'-monophosphate dehydrogenase,IMPDH
kup_6,kup_6,Low affinity potassium transport system protein kup,kup
pcaI,pcaI,3-oxoadipate CoA-transferase subunit A,pcaI
hcaB_7,hcaB_7,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
pcaR_2,pcaR_2,Pca regulon regulatory protein,pcaR
pcaH_2,pcaH_2,Protocatechuate 34-dioxygenase beta chain,pcaH
ompR_1,ompR_1,Transcriptional regulatory protein OmpR,ompR
ligK_3,ligK_3,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK
nagR_5,nagR_5,HTH-type transcriptional repressor NagR,nagR
fabG_14,fabG_14,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
glnQ_7,glnQ_7,Glutamine transport ATP-binding protein GlnQ,glnQ
nagR_4,nagR_4,HTH-type transcriptional repressor NagR,nagR
artM_2,artM_2,Arginine transport ATP-binding protein ArtM,artM
catD_2,catD_2,3-oxoadipate enol-lactonase 2,catD
frlC,frlC,Fructoselysine 3-epimerase,frlC
